42.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:30:55.0 (324405)|USER_INFO|[EXTERNAL]|0051I000000JaV8|amarvick94@gmail.com|Pacific Standard Time|GMT-07:00
16:30:55.0 (355486)|EXECUTION_STARTED
16:30:55.0 (359903)|CODE_UNIT_STARTED|[EXTERNAL]|0661I000003daSA|VF: /apex/Settings
16:30:55.0 (2353886)|SYSTEM_MODE_ENTER|true
16:30:55.0 (2913872)|HEAP_ALLOCATE|[72]|Bytes:3
16:30:55.0 (2984791)|HEAP_ALLOCATE|[77]|Bytes:152
16:30:55.0 (3001412)|HEAP_ALLOCATE|[342]|Bytes:408
16:30:55.0 (3014775)|HEAP_ALLOCATE|[355]|Bytes:408
16:30:55.0 (3025477)|HEAP_ALLOCATE|[467]|Bytes:48
16:30:55.0 (3077565)|HEAP_ALLOCATE|[139]|Bytes:6
16:30:55.0 (3098096)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:256
16:30:55.0 (3117163)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:26
16:30:55.0 (3121469)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:22
16:30:55.0 (3170604)|METHOD_ENTRY|[1]|01p1I00000G8yt3|OpsHR_ContactDriverController.OpsHR_ContactDriverController()
16:30:55.0 (3178075)|STATEMENT_EXECUTE|[1]
16:30:55.0 (3183243)|STATEMENT_EXECUTE|[1]
16:30:55.0 (3218719)|HEAP_ALLOCATE|[50]|Bytes:5
16:30:55.0 (3244719)|HEAP_ALLOCATE|[56]|Bytes:5
16:30:55.0 (3251815)|HEAP_ALLOCATE|[64]|Bytes:7
16:30:55.0 (3280997)|SYSTEM_MODE_ENTER|false
16:30:55.0 (3295425)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:30:55.0 (3303719)|SYSTEM_MODE_EXIT|false
16:30:55.0 (3322832)|METHOD_EXIT|[1]|OpsHR_ContactDriverController
16:30:55.0 (3396077)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:36
16:30:55.0 (3455117)|VARIABLE_SCOPE_BEGIN|[11]|this|OpsHR_ContactDriverController|true|false
16:30:55.0 (3530341)|VARIABLE_ASSIGNMENT|[11]|this|{}|0x4b27aa8e
16:30:55.0 (3539092)|VARIABLE_SCOPE_BEGIN|[11]|controller|ApexPages.StandardController|true|false
16:30:55.0 (3761631)|VARIABLE_ASSIGNMENT|[11]|controller|"StandardController [null]"|0x77723c53
16:30:55.0 (3785080)|SYSTEM_MODE_ENTER|false
16:30:55.0 (3792652)|HEAP_ALLOCATE|[5]|Bytes:5
16:30:55.0 (3797542)|STATEMENT_EXECUTE|[1]
16:30:55.0 (3803166)|HEAP_ALLOCATE|[5]|Bytes:5
16:30:55.0 (3806919)|STATEMENT_EXECUTE|[3]
16:30:55.0 (3808759)|STATEMENT_EXECUTE|[4]
16:30:55.0 (3810254)|STATEMENT_EXECUTE|[5]
16:30:55.0 (3842094)|HEAP_ALLOCATE|[5]|Bytes:4
16:30:55.0 (3977659)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:30:55.0 (3994218)|VARIABLE_ASSIGNMENT|[5]|this.recordTypes|[]|0x4b27aa8e
16:30:55.0 (4000358)|STATEMENT_EXECUTE|[7]
16:30:55.0 (4002665)|STATEMENT_EXECUTE|[8]
16:30:55.0 (4004233)|STATEMENT_EXECUTE|[16]
16:30:55.0 (4005830)|STATEMENT_EXECUTE|[45]
16:30:55.0 (4007238)|STATEMENT_EXECUTE|[75]
16:30:55.0 (4017554)|HEAP_ALLOCATE|[5]|Bytes:6
16:30:55.0 (4051555)|STATEMENT_EXECUTE|[12]
16:30:55.0 (4055561)|SYSTEM_MODE_EXIT|false
16:30:55.0 (4840346)|SYSTEM_MODE_ENTER|true
16:30:55.0 (4872970)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:164
16:30:55.0 (4880788)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
